共 594 条记录

青海师范大学                              | 208组 | 计划  19人 | 492分 | 排位180084
齐齐哈尔大学                              | 208组 | 计划  44人 | 492分 | 排位180167
常德学院                                | 207组 | 计划   2人 | 492分 | 排位180169
嘉应学院(联合培养)                          | 221组 | 计划  25人 | 492分 | 排位180205
吉林建筑大学                              | 209组 | 计划   7人 | 491分 | 排位180250
邢台医学院                               | 204组 | 计划  25人 | 491分 | 排位180253
江西农业大学南昌商学院                         | 217组 | 计划   4人 | 491分 | 排位180267
内蒙古科技大学                             | 208组 | 计划   5人 | 491分 | 排位180287
河北环境工程学院                            | 210组 | 计划   3人 | 491分 | 排位180292
新疆师范大学                              | 214组 | 计划  24人 | 491分 | 排位180417
南京医科大学康达学院                          | 214组 | 计划   2人 | 491分 | 排位180424
南宁师范大学师园学院                          | 206组 | 计划   9人 | 491分 | 排位180446
重庆工程学院                              | 206组 | 计划  15人 | 491分 | 排位180473
黑河学院                                | 212组 | 计划   2人 | 491分 | 排位180482
湖南科技大学潇湘学院                          | 204组 | 计划   5人 | 491分 | 排位180582
闽南科技学院                              | 209组 | 计划   1人 | 491分 | 排位180626
郑州工程技术学院                            | 206组 | 计划  10人 | 491分 | 排位180628
洛阳师范学院                              | 204组 | 计划  15人 | 491分 | 排位180631
吉林农业科技学院                            | 211组 | 计划   5人 | 491分 | 排位180653
临沂大学(中外合作办学)                        | 209组 | 计划   4人 | 491分 | 排位180713
南华大学船山学院                            | 206组 | 计划   4人 | 491分 | 排位180765
西京学院                                | 206组 | 计划   2人 | 491分 | 排位180840
广州航海学院(中外合作办学)                      | 206组 | 计划  80人 | 491分 | 排位180884
山东石油化工学院                            | 205组 | 计划   2人 | 491分 | 排位181033
烟台大学(联合培养)                          | 210组 | 计划   2人 | 491分 | 排位181078
嘉应学院(联合培养)                          | 220组 | 计划  20人 | 491分 | 排位181086
伊犁师范大学                              | 220组 | 计划   6人 | 491分 | 排位181098
湖北文理学院理工学院                          | 204组 | 计划   2人 | 491分 | 排位181241
南昌航空大学科技学院                          | 217组 | 计划  13人 | 491分 | 排位181330
韶关学院(学分互认)                          | 249组 | 计划  30人 | 491分 | 排位181346
仲恺农业工程学院(国际班)                       | 207组 | 计划  30人 | 491分 | 排位181366
四川电影电视学院                            | 215组 | 计划   1人 | 491分 | 排位181383
南昌航空大学科技学院                          | 216组 | 计划  45人 | 491分 | 排位181397
内蒙古民族大学                             | 206组 | 计划  10人 | 491分 | 排位181409
喀什大学                                | 216组 | 计划   8人 | 491分 | 排位181415
内蒙古科技大学                             | 209组 | 计划  66人 | 491分 | 排位181469
内蒙古农业大学                             | 208组 | 计划  16人 | 491分 | 排位181476
塔里木大学                               | 206组 | 计划   4人 | 491分 | 排位181500
喀什大学                                | 217组 | 计划   4人 | 491分 | 排位181586
南京师范大学中北学院                          | 208组 | 计划   4人 | 491分 | 排位181619
吉林农业科技学院                            | 208组 | 计划   2人 | 491分 | 排位181704
中国计量大学现代科技学院                        | 204组 | 计划   8人 | 491分 | 排位181817
山西农业大学                              | 210组 | 计划  17人 | 491分 | 排位181837
三峡大学科技学院                            | 208组 | 计划   4人 | 491分 | 排位181846
白城师范学院                              | 202组 | 计划  17人 | 491分 | 排位181867
重庆移通学院                              | 205组 | 计划   3人 | 491分 | 排位181886
兰州城市学院                              | 202组 | 计划   5人 | 491分 | 排位181896
成都锦城学院                              | 208组 | 计划  10人 | 491分 | 排位181954
厦门大学嘉庚学院                            | 212组 | 计划  40人 | 490分 | 排位182137
昌吉学院                                | 208组 | 计划  20人 | 490分 | 排位182159
内蒙古工业大学                             | 204组 | 计划  12人 | 490分 | 排位182266
郑州西亚斯学院                             | 209组 | 计划   8人 | 490分 | 排位182422
内蒙古农业大学                             | 207组 | 计划  20人 | 490分 | 排位182424
成都锦城学院                              | 209组 | 计划  26人 | 490分 | 排位182460
武汉工商学院                              | 209组 | 计划   4人 | 490分 | 排位182574
滇池学院                                | 210组 | 计划   3人 | 490分 | 排位182622
江西财经大学现代经济管理学院                      | 209组 | 计划   1人 | 490分 | 排位182724
中南林业科技大学涉外学院                        | 209组 | 计划  15人 | 490分 | 排位182735
江西农业大学南昌商学院                         | 218组 | 计划   8人 | 490分 | 排位182804
长江师范学院                              | 210组 | 计划   5人 | 490分 | 排位182853
新疆工程学院                              | 205组 | 计划  30人 | 490分 | 排位183118
新疆和田学院                              | 212组 | 计划   5人 | 490分 | 排位183204
新疆政法学院                              | 213组 | 计划   7人 | 490分 | 排位183224
南昌航空大学科技学院                          | 215组 | 计划   2人 | 490分 | 排位183239
山西工程技术学院                            | 205组 | 计划   4人 | 490分 | 排位183254
长江大学文理学院                            | 205组 | 计划   3人 | 490分 | 排位183284
四川传媒学院                              | 216组 | 计划  20人 | 490分 | 排位183362
上海财经大学浙江学院                          | 205组 | 计划   8人 | 490分 | 排位183367
江西水利电力大学(中外合作办学)                    | 209组 | 计划   8人 | 490分 | 排位183386
豫北医学院                               | 203组 | 计划   3人 | 490分 | 排位183598
新疆科技学院                              | 209组 | 计划  10人 | 490分 | 排位183639
云南财经大学(中外合作办学)                      | 213组 | 计划   6人 | 490分 | 排位183644
天津理工大学中环信息学院                        | 205组 | 计划   1人 | 490分 | 排位183711
鲁东大学                                | 205组 | 计划  20人 | 490分 | 排位183714
牡丹江师范学院                             | 211组 | 计划  10人 | 489分 | 排位183800
山东农业大学                              | 205组 | 计划  99人 | 489分 | 排位183881
桂林医科大学(联合培养)                        | 206组 | 计划   2人 | 489分 | 排位183952
广西中医药大学赛恩斯新医药学院                     | 208组 | 计划  28人 | 489分 | 排位183962
牡丹江师范学院                             | 210组 | 计划   8人 | 489分 | 排位184019
电子科技大学中山学院                          | 204组 | 计划 510人 | 489分 | 排位184090
新疆工程学院                              | 207组 | 计划   7人 | 489分 | 排位184279
信阳师范大学(中外合作办学)                      | 204组 | 计划   8人 | 489分 | 排位184287
四川传媒学院                              | 218组 | 计划  11人 | 489分 | 排位184303
新疆农业大学                              | 215组 | 计划 125人 | 489分 | 排位184329
黑龙江工程学院                             | 209组 | 计划   2人 | 489分 | 排位184448
浙江农林大学暨阳学院                          | 207组 | 计划   2人 | 489分 | 排位184462
新疆医科大学                              | 205组 | 计划   2人 | 489分 | 排位184569
福州大学至诚学院                            | 208组 | 计划   5人 | 489分 | 排位184656
齐鲁医药学院                              | 202组 | 计划  10人 | 489分 | 排位184748
塔里木大学                               | 210组 | 计划   6人 | 489分 | 排位184892
阜阳理工学院                              | 202组 | 计划   5人 | 489分 | 排位184989
石家庄铁道大学四方学院                         | 205组 | 计划   3人 | 489分 | 排位185007
宁夏师范大学                              | 207组 | 计划   3人 | 489分 | 排位185082
新疆农业大学                              | 212组 | 计划  13人 | 489分 | 排位185089
哈尔滨商业大学                             | 210组 | 计划  64人 | 489分 | 排位185095
江西财经大学现代经济管理学院                      | 211组 | 计划   9人 | 489分 | 排位185143
重庆机电职业技术大学                          | 202组 | 计划  15人 | 489分 | 排位185175
昌吉学院                                | 207组 | 计划   8人 | 489分 | 排位185247
喀什大学                                | 215组 | 计划  95人 | 489分 | 排位185256
天津城建大学                              | 219组 | 计划   4人 | 489分 | 排位185284
湖南应用技术学院                            | 206组 | 计划   2人 | 489分 | 排位185314
新疆工程学院                              | 209组 | 计划  16人 | 489分 | 排位185374
东南大学成贤学院                            | 206组 | 计划  37人 | 489分 | 排位185397
